"Source:","C:\Users\smill\Documents\git\Module_17\hardware\r0.1e\M17-SmartMic.kicad_sch"
"Date:","7/1/2023 1:29:03 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Height","LCSC Part #","MPN","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"33","1","L1","10u","pkl_device:pkl_L_Small","Inductor_SMD:L_Vishay_IHLP-2525","","","","",""," C506573","IHLP2525BDER100M01","","","",""
"34","1","Q1","IRLML2060","Transistor_FET:IRLML2060","pkl_housings_sot:SOT-23","https://www.infineon.com/dgdl/irlml2060pbf.pdf?fileId=5546d462533600a401535664b7fb25ee","","","","","C67275","IRLML2060TRPbF","","","",""
"35","2","Q2, Q3","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","","","","C400505","BSS138P,215","","","",""
"36","1","Q4","IRLML2244","PCM_Transistor_MOSFET_AKL:IRLML2244","Package_TO_SOT_SMD:SOT-23","https://www.tme.eu/Document/90ea866fa3e08b39ea06db12ea9e4987/irlml2244pbf.pdf","","","","","C169763","IRLML2244TRPbF","","","",""
"37","1","Q5","MMBT3904","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","","","","C84555","SMMBT3904LT1G","","","",""
"38","3","R1, R35, R42","2k2","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/2k2/0603","","","",""
"39","4","R2, R43, R45, R46","22k","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/22k/0603","","","",""
"40","2","R3, R4","22","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/22R/0603","","","",""
"41","1","R5","1k","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/1k/0603","","","",""
"42","11","R6, R9, R11, R12, R17, R18, R34, R58, R59, R60, R61","10k","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/10k/0603","","","",""
"43","6","R7, R10, R13, R14, R19, R20","470","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/470R/0603","","","",""
"44","2","R8, R52","0","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/0R/0603","","","",""
"45","2","R15, R16","5k1","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/5k1/0603","","","",""
"46","2","R23, R44","100k","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/100k/0603","","","",""
"47","4","R24, R25, R26, R27","680","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/680R/0603","","","",""
"48","2","R28, R29","27","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/27R/0603","","","",""
"49","1","R30","150k","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/150k/0603","","","",""
"50","1","R31","1k8","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/1k8/0603","","","",""
"51","3","R32, R49, R50","47k","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/47k/0603","","","",""
"52","1","R33","2k","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/2k/0603","","","",""
"53","2","R36, R41","3k3","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/3k3/0603","","","",""
"54","2","R37, R40","3k9","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/3k9/0603","","","",""
"55","2","R38, R39","39k","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/39k/0603","","","",""
"56","1","R51","330","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/330/0603","","","",""
"57","1","R53","0R","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/2k7/0603","","","",""
"58","1","R56","8k2","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/8k2/0603","","","",""
"59","1","R57","43k","pkl_device:pkl_R_Small","pkl_dipol:R_0603","","","","","","","Generic R/43k/0603","","","",""
"60","2","R63, R65","100k","Device:R_Small","pkl_dipol:R_0603","~","","","","","","Generic R/100k/0603","","","",""
"61","1","R64","10k","Device:R_Small","pkl_dipol:R_0603","~","","","","","","Generic R/10k/0603","","","",""
"62","2","R66, R67","22k","Device:R_Small","pkl_dipol:R_0603","~","","","","","","Generic R/22k/0603","","","",""
"63","2","RV2, RV3","10k","Device:R_Potentiometer_Small","Potentiometer_SMD:Potentiometer_Bourns_3224W_Vertical","~","","","","","C81348","3224W-1-103E","","","",""
"64","1","RV4","10k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Alps_RK097_Single_Horizontal","~","","","","","C470577","RK097111080R","","","",""
"65","1","SW1","Button Up","Switch:SW_Push","pkl_buttons_switches:SW_SPST_PTS645","~","","","","","C83916","PTS645SH50SMTR92LFS","","","",""
"66","1","SW2","Button Down","Switch:SW_Push","pkl_buttons_switches:SW_SPST_PTS645","~","","","","","C83916","PTS645SH50SMTR92LFS","","","",""
"67","1","SW3","Reset","Switch:SW_Push","pkl_buttons_switches:SW_SPST_3x4x2.5","~","","","","","C221895","PTS810SJG250SMTRLFS","","","",""
"68","1","SW4","Button Escape","Switch:SW_Push","pkl_buttons_switches:SW_SPST_PTS645","~","","","","","C83916","PTS645SH50SMTR92LFS","","","",""
"69","1","SW5","Button Left","Switch:SW_Push","pkl_buttons_switches:SW_SPST_PTS645","~","","","","","C83916","PTS645SH50SMTR92LFS","","","",""
"70","1","SW6","Button Enter","Switch:SW_Push","pkl_buttons_switches:SW_SPST_PTS645","~","","","","","C83916","PTS645SH50SMTR92LFS","","","",""
"71","1","SW7","Button Right","Switch:SW_Push","pkl_buttons_switches:SW_SPST_PTS645","~","","","","","C83916","PTS645SH50SMTR92LFS","","","",""
"72","1","SW8","Button Power","Switch:SW_Push","pkl_buttons_switches:SW_SPST_PTS645","~","","","","","C83916","PTS645SH50SMTR92LFS","","","",""
"73","1","U1","MAX9814","Amplifier_Audio:MAX9814","Package_DFN_QFN:DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm","https://datasheets.maximintegrated.com/en/ds/MAX9814.pdf","","","","","C41714","MAX9814ETD+T","","","",""
"74","1","U2","TP6841S6","Module17:TP6841S6","Package_TO_SOT_SMD:SOT-23-6","","","","","","C2844924","TP6841S6","","","",""
"75","1","U3","USBLC6-2","pkl_misc:USBLC6-2","pkl_housings_sot:SOT-23-6","","","","","","C7519","USBLC6-2-SC6","","","",""
"76","2","U6, U7","MCP6002","Amplifier_Operational:MCP602","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21314g.pdf","","","","","C116706","MCP6002-I/SN","","","",""
"77","1","U10","STM32F405RGTx","MCU_ST_STM32F4:STM32F405RGTx","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00037051.pdf","","","","","C15742","STM32F405RGT6V","","","",""
"78","1","U11","TPS7A2033","Regulator_Linear:TPS73133DBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps731.pdf","","","","","C2862740","TPS7A2033PDBVR","","","",""
"79","1","Y1","8 MHz","Device:Crystal_GND24_Small","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","","","","","C518156","ECS-80-12-33-JGN-TR","","","",""
