Id	Description	Qty	Unit	Designators	P/N	Manufacturer
1	Cable, Cable CT-167 (pigtail), 10 x 24 AWG	1	m	CT-167	CT-167	Yaesu
2	Connector, 10-pin miniDIN, male, 10 pins	1		mini-DIN-10		
3	Connector, D-Sub, male, 9 pins	1		DE-9		
