Id	Description	Qty	Unit	Designators	P/N	Manufacturer
1	Cable, 6 x 24 AWG	1	m	Belden 9536	9536	Belden
2	Connector, 6-pin miniDIN, male, 6 pins	1		miniDIN-6		
3	Connector, D-Sub, male, 9 pins	1		DE-9		
